task_id,turn,answer_change_score,correctness_change_score,continuous_distance,base_num,gold_num,all_nums,all_scores,thinking_chars,orig_score
sharded-GSM8K/1019,1,0.3333333333333333,0.0,,,98.0,"['', '', '', '2', '15']","[0.0, 0.0, 0.0, 0.0, 0.0]",693,0.0
sharded-GSM8K/1019,2,1.0,0.0,0.27301942223504644,12,98.0,"['12', '4', '1', '100', '100']","[0.0, 0.0, 0.0, 0.0, 0.0]",3861,0.0
sharded-GSM8K/1019,3,1.0,0.3333333333333333,0.4195103718291298,3,98.0,"['3', '100', '61', '15', '24']","[0.0, 0.0, 1.0, 0.0, 0.0]",5576,0.0
sharded-GSM8K/1019,4,1.0,0.0,0.28175009962373193,4,98.0,"['4', '63', '48', '5', '63']","[0.0, 0.0, 0.0, 0.0, 0.0]",2594,0.0
sharded-GSM8K/547,1,1.0,0.0,0.01212136053234481,1,81.0,"['1', '', '2', '2', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",1147,0.0
sharded-GSM8K/547,2,0.6666666666666666,1.0,0.03157170626433795,3,81.0,"['3', '1', '3', '9', '81']","[0.0, 1.0, 1.0, 1.0, 1.0]",2927,1.0
sharded-GSM8K/598,1,1.0,0.0,,,69.0,"['', '1', '1', '1', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",1209,0.0
sharded-GSM8K/598,2,1.0,0.0,0.024293030854644418,1,69.0,"['1', '2', '3.45', '', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",3689,0.0
sharded-GSM8K/598,3,1.0,0.0,0.03686912274029499,2.00,69.0,"['2.00', '1', '8', '1', '69']","[0.0, 0.0, 0.0, 0.0, 1.0]",3689,1.0
sharded-GSM8K/965,1,1.0,0.0,,,374.0,"['', '1', '1', '1', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",617,0.0
sharded-GSM8K/965,2,1.0,0.0,,,374.0,"['', '2', '2', '1', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",3837,0.0
sharded-GSM8K/965,3,0.6666666666666666,0.0,0.00133155870974185,1,374.0,"['1', '1', '2', '', '1']","[0.0, 0.0, 0.0, 0.0, 0.0]",6317,0.0
sharded-GSM8K/965,4,1.0,0.0,0.22115201811737306,1,374.0,"['1', '300', '2', '30', '30']","[0.0, 0.0, 0.0, 0.0, 0.0]",3000,0.0
sharded-GSM8K/965,5,1.0,0.0,0.2433836794346794,3,374.0,"['3', '60', '1', '300', '2']","[0.0, 0.0, 0.0, 0.0, 0.0]",3746,0.0
sharded-GSM8K/965,6,1.0,0.0,0.23361062715474168,3,374.0,"['3', '30', '60', '240', '240']","[0.0, 0.0, 0.0, 0.0, 0.0]",4125,0.0
